lane,patch,stage,kind,t0_ms,t1_ms
-1,0,read,read,0.24354,66.2639
-1,1,read,read,66.4084,161.277
-1,2,read,read,161.304,230.226
-1,3,read,read,338.502,410.009
-1,4,read,read,615.65,701.892
-1,5,read,read,897.157,991.772
-1,6,read,read,1168.48,1287.5
-1,7,read,read,1443.69,1551.41
-1,8,read,read,1711.65,1778.53
-1,9,read,read,1995.71,2057.7
-1,10,read,read,2264.5,2302.9
-1,11,read,read,2544.32,2612.75
-1,12,read,read,2814.26,2923.64
-1,13,read,read,3082.67,3123.79
-1,14,read,read,3353.58,3406.51
-1,15,read,read,3621.55,3688.06
0,0,normalize,cpu,66.8402,75.1389
0,0,g_a_cpu,cpu,75.257,75.6258
0,0,g_a,dpu,75.6313,86.0285
0,0,g_a,dpu,86.0337,124.694
0,0,g_a_cpu,cpu,124.695,125.067
0,0,eb_enc,cpu,125.074,131.891
0,17,normalize,cpu,132.554,137.58
0,17,g_a_cpu,cpu,137.587,138.371
0,17,g_a,dpu,138.376,177.224
0,17,g_a,dpu,177.229,182.667
0,17,g_a_cpu,cpu,182.669,183.119
0,17,eb_enc,cpu,183.121,188.186
0,27,normalize,cpu,188.769,192.423
0,27,g_a_cpu,cpu,192.429,192.92
0,27,g_a,dpu,192.925,200.398
0,27,g_a,dpu,200.4,222.49
0,27,g_a_cpu,cpu,222.493,223.197
0,27,eb_enc,cpu,223.22,228.639
0,33,normalize,cpu,229.287,232.944
0,33,g_a_cpu,cpu,232.947,233.346
0,33,g_a,dpu,233.349,264.616
0,33,g_a,dpu,264.617,271.169
0,33,g_a_cpu,cpu,271.171,271.539
0,33,eb_enc,cpu,271.541,276.591
0,45,normalize,cpu,277.099,280.787
0,45,g_a_cpu,cpu,280.793,281.352
0,45,g_a,dpu,281.354,307.057
0,45,g_a,dpu,307.059,332.659
0,45,g_a_cpu,cpu,332.661,333.183
0,45,eb_enc,cpu,333.186,338.448
0,57,normalize,cpu,339.337,342.989
0,57,g_a_cpu,cpu,342.992,343.696
0,57,g_a,dpu,343.7,374.819
0,57,g_a,dpu,374.828,380.81
0,57,g_a_cpu,cpu,380.812,381.399
0,57,eb_enc,cpu,381.403,387.201
0,67,normalize,cpu,388.034,391.969
0,67,g_a_cpu,cpu,391.976,392.64
0,67,g_a,dpu,392.648,417.026
0,67,g_a,dpu,417.028,423.147
0,67,g_a_cpu,cpu,423.15,423.613
0,67,eb_enc,cpu,423.615,435.781
0,74,normalize,cpu,436.39,440.953
0,74,g_a_cpu,cpu,440.958,441.332
0,74,g_a,dpu,441.334,455.833
0,74,g_a,dpu,455.835,460.87
0,74,g_a_cpu,cpu,460.872,461.447
0,74,eb_enc,cpu,461.45,466.774
0,81,normalize,cpu,467.379,473.66
0,81,g_a_cpu,cpu,473.663,474.122
0,81,g_a,dpu,474.125,490
0,81,g_a,dpu,490.002,505.178
0,81,g_a_cpu,cpu,505.18,505.485
0,81,eb_enc,cpu,505.487,510.652
0,92,normalize,cpu,511.169,514.866
0,92,g_a_cpu,cpu,514.87,515.264
0,92,g_a,dpu,515.266,532.246
0,92,g_a,dpu,532.253,562.842
0,92,g_a_cpu,cpu,562.843,563.341
0,92,eb_enc,cpu,563.344,568.406
0,104,normalize,cpu,568.967,572.666
0,104,g_a_cpu,cpu,572.671,573.108
0,104,g_a,dpu,573.111,578.657
0,104,g_a,dpu,578.658,585.585
0,104,g_a_cpu,cpu,585.586,586.18
0,104,eb_enc,cpu,586.194,592.53
0,109,normalize,cpu,593.077,596.893
0,109,g_a_cpu,cpu,596.896,597.247
