lane,patch,stage,kind,t0_ms,t1_ms
-1,0,read,read,0.25891,67.6679
-1,1,read,read,67.8776,167.732
-1,2,read,read,167.756,224.387
-1,3,read,read,832.233,891.644
-1,4,read,read,2295.64,2358.66
-1,5,read,read,3759.01,3827.72
-1,6,read,read,5163.25,5238.8
-1,7,read,read,6600.67,6660.7
-1,8,read,read,8027.76,8088.58
-1,9,read,read,9497.83,9531.82
-1,10,read,read,10931.7,10967
-1,11,read,read,12354.9,12389.2
-1,12,read,read,13697.8,13755.7
-1,13,read,read,15140.4,15173.6
-1,14,read,read,16607.1,16645
-1,15,read,read,18034.8,18070.1
0,22,normalize,cpu,98.2883,106.591
0,22,g_a_cpu,cpu,106.692,107.215
0,22,g_a,dpu,107.22,311.298
0,22,g_a,dpu,311.3,347.575
0,22,g_a_cpu,cpu,347.576,347.992
0,22,eb_enc,cpu,347.996,354.134
0,32,normalize,cpu,354.75,358.387
0,32,g_a_cpu,cpu,358.39,358.665
0,32,g_a,dpu,358.668,710.431
0,32,g_a,dpu,710.437,750.013
0,32,g_a_cpu,cpu,750.015,750.511
0,32,eb_enc,cpu,750.514,755.436
0,51,normalize,cpu,755.911,759.599
0,51,g_a_cpu,cpu,759.601,759.875
0,51,g_a,dpu,759.877,1124.12
0,51,g_a,dpu,1124.12,1485.5
0,51,g_a_cpu,cpu,1485.51,1485.99
0,51,eb_enc,cpu,1486,1490.76
0,79,normalize,cpu,1491.25,1494.91
0,79,g_a_cpu,cpu,1494.92,1495.18
0,79,g_a,dpu,1495.19,1849.93
0,79,g_a,dpu,1849.93,2214.05
0,79,g_a_cpu,cpu,2214.05,2214.66
0,79,eb_enc,cpu,2214.66,2219.5
0,109,normalize,cpu,2220.01,2223.66
0,109,g_a_cpu,cpu,2223.66,2223.95
0,109,g_a,dpu,2223.95,2581.73
0,109,g_a,dpu,2581.73,2941.61
0,109,g_a_cpu,cpu,2941.61,2941.93
0,109,eb_enc,cpu,2941.93,2946.65
0,139,normalize,cpu,2947.11,2950.76
0,139,g_a_cpu,cpu,2950.76,2951.06
0,139,g_a,dpu,2951.07,3317.56
0,139,g_a,dpu,3317.57,3677.82
0,139,g_a_cpu,cpu,3677.82,3678.29
0,139,eb_enc,cpu,3678.29,3683.16
0,169,normalize,cpu,3683.68,3687.32
0,169,g_a_cpu,cpu,3687.32,3687.59
0,169,g_a,dpu,3687.6,4049.66
0,169,g_a,dpu,4049.66,4417.65
0,169,g_a_cpu,cpu,4417.66,4418.11
0,169,eb_enc,cpu,4418.11,4422.89
0,199,normalize,cpu,4423.36,4427.07
0,199,g_a_cpu,cpu,4427.07,4427.38
0,199,g_a,dpu,4427.38,4781.67
0,199,g_a,dpu,4781.67,5145.94
0,199,g_a_cpu,cpu,5145.94,5146.57
0,199,eb_enc,cpu,5146.57,5151.35
0,230,normalize,cpu,5151.82,5155.47
0,230,g_a_cpu,cpu,5155.47,5155.75
0,230,g_a,dpu,5155.75,5521.8
0,230,g_a,dpu,5521.8,5892.75
0,230,g_a_cpu,cpu,5892.75,5893.15
0,230,eb_enc,cpu,5893.15,5898.01
0,261,normalize,cpu,5898.45,5902.11
0,261,g_a_cpu,cpu,5902.11,5902.38
0,261,g_a,dpu,5902.38,6261.43
0,261,g_a,dpu,6261.43,6625.95
0,261,g_a_cpu,cpu,6625.95,6626.62
0,261,eb_enc,cpu,6626.62,6631.62
0,291,normalize,cpu,6632.16,6636.09
0,291,g_a_cpu,cpu,6636.1,6636.54
0,291,g_a,dpu,6636.54,6989.27
0,291,g_a,dpu,6989.28,7361.6
0,291,g_a_cpu,cpu,7361.6,7362.05
0,291,eb_enc,cpu,7362.07,7366.8
0,321,normalize,cpu,7367.24,7371.06
0,321,g_a_cpu,cpu,7371.06,7371.66
0,321,g_a,dpu,7371.67,7725.77
0,321,g_a,dpu,7725.77,8101.86
0,321,g_a_cpu,cpu,8101.86,8102.33
0,321,eb_enc,cpu,8102.34,8107.14
0,351,normalize,cpu,8107.6,8111.23
0,351,g_a_cpu,cpu,8111.23,8111.76
0,351,g_a,dpu,8111.77,8461.47
0,351,g_a,dpu,8461.47,8837.73
0,351,g_a_cpu,cpu,8837.74,8838.04
0,351,eb_enc,cpu,8838.04,8842.87
0,382,normalize,cpu,8843.39,8847.14
0,382,g_a_cpu,cpu,8847.14,8847.42
