lane,patch,stage,kind,t0_ms,t1_ms
-1,0,read,read,0.26608,65.234
-1,1,read,read,65.3511,139.587
-1,2,read,read,139.612,198.044
-1,3,read,read,1398.15,1457.05
-1,4,read,read,2918.79,2981.21
-1,5,read,read,4490.38,4559.59
-1,6,read,read,6033.89,6108.5
-1,7,read,read,7438.1,7497.92
-1,8,read,read,8979.13,9040.03
-1,9,read,read,10519.4,10556.1
-1,10,read,read,12075.6,12122.5
-1,11,read,read,13565.2,13600.4
-1,12,read,read,15067.2,15128.1
-1,13,read,read,16565.9,16600.9
-1,14,read,read,18041.1,18074.4
-1,15,read,read,19629.8,19660.3
0,0,normalize,cpu,65.8038,69.5577
0,0,g_a_cpu,cpu,89.0415,89.5919
0,0,g_a,dpu,89.6049,232.107
0,0,g_a,dpu,232.11,268.439
0,0,g_a_cpu,cpu,268.439,268.937
0,0,h_a,dpu,268.944,381.544
0,0,eb_enc,cpu,381.545,381.719
0,0,eb_dec,cpu,381.721,381.89
0,0,h_s,dpu,381.89,385.44
0,0,gc,cpu,385.446,412.128
0,14,normalize,cpu,412.836,419.671
0,14,g_a_cpu,cpu,419.675,420.027
0,14,g_a,dpu,420.03,510.177
0,14,g_a,dpu,510.179,654.075
0,14,g_a_cpu,cpu,654.076,654.412
0,14,h_a,dpu,654.414,699.502
0,14,eb_enc,cpu,699.503,699.663
0,14,eb_dec,cpu,699.666,699.837
0,14,h_s,dpu,699.837,702.354
0,14,gc,cpu,702.354,712.351
0,25,normalize,cpu,712.877,717.903
0,25,g_a_cpu,cpu,717.908,718.766
0,25,g_a,dpu,718.773,826.609
0,25,g_a,dpu,826.611,970.528
0,25,g_a_cpu,cpu,970.53,971
0,25,h_a,dpu,971.003,1009.64
0,25,eb_enc,cpu,1009.64,1009.78
0,25,eb_dec,cpu,1009.78,1009.92
0,25,h_s,dpu,1009.92,1013.04
0,25,gc,cpu,1013.04,1023.67
0,38,normalize,cpu,1024.35,1028.25
0,38,g_a_cpu,cpu,1028.25,1029.08
0,38,g_a,dpu,1029.09,1102.57
0,38,g_a,dpu,1102.58,1138.91
0,38,g_a_cpu,cpu,1138.91,1139.39
0,38,h_a,dpu,1139.39,1321.58
0,38,eb_enc,cpu,1321.58,1321.71
0,38,eb_dec,cpu,1321.71,1321.84
0,38,h_s,dpu,1321.84,1322.77
0,38,gc,cpu,1322.77,1333.31
0,48,normalize,cpu,1333.92,1337.63
0,48,g_a_cpu,cpu,1337.64,1338.04
0,48,g_a,dpu,1338.05,1374.75
0,48,g_a,dpu,1374.75,1519.04
0,48,g_a_cpu,cpu,1519.04,1519.46
0,48,h_a,dpu,1519.46,1628.16
0,48,eb_enc,cpu,1628.16,1628.31
0,48,eb_dec,cpu,1628.31,1628.47
0,48,h_s,dpu,1628.47,1631.63
0,48,gc,cpu,1631.63,1642.07
0,60,normalize,cpu,1642.76,1646.38
0,60,g_a_cpu,cpu,1646.39,1646.82
0,60,g_a,dpu,1646.82,1683.46
0,60,g_a,dpu,1683.46,1827.58
0,60,g_a_cpu,cpu,1827.58,1828.02
0,60,h_a,dpu,1828.02,1937.48
0,60,eb_enc,cpu,1937.48,1937.74
0,60,eb_dec,cpu,1937.74,1937.96
0,60,h_s,dpu,1937.96,1941.24
0,60,gc,cpu,1941.24,1951.68
0,72,normalize,cpu,1952.24,1956.05
0,72,g_a_cpu,cpu,1956.06,1956.48
0,72,g_a,dpu,1956.49,1993.31
0,72,g_a,dpu,1993.31,2029.73
0,72,g_a_cpu,cpu,2029.73,2030.17
0,72,h_a,dpu,2030.18,2138.54
0,72,eb_enc,cpu,2138.54,2138.72
0,72,eb_dec,cpu,2138.72,2138.87
0,72,h_s,dpu,2138.87,2247.86
0,72,gc,cpu,2247.86,2257.85
0,84,normalize,cpu,2258.52,2262.18
0,84,g_a_cpu,cpu,2262.18,2262.73
0,84,g_a,dpu,2262.74,2299.49
0,84,g_a,dpu,2299.49,2443.69
0,84,g_a_cpu,cpu,2443.69,2444.09
0,84,h_a,dpu,2444.09,2552.56
0,84,eb_enc,cpu,2552.56,2552.76
0,84,eb_dec,cpu,2552.76,2553.01
0,84,h_s,dpu,2553.02,2556.74
0,84,gc,cpu,2556.74,2567.08
0,96,normalize,cpu,2567.82,2571.61
0,96,g_a_cpu,cpu,2571.61,2572.02
0,96,g_a,dpu,2572.02,2608.75
0,96,g_a,dpu,2608.75,2752.91
0,96,g_a_cpu,cpu,2752.92,2753.32
0,96,h_a,dpu,2753.32,2862.11
0,96,eb_enc,cpu,2862.12,2862.25
0,96,eb_dec,cpu,2862.25,2862.4
0,96,h_s,dpu,2862.4,2866.22
0,96,gc,cpu,2866.22,2876.68
0,108,normalize,cpu,2877.45,2881.24
0,108,g_a_cpu,cpu,2881.25,2881.7
0,108,g_a,dpu,2881.7,2918.54
0,108,g_a,dpu,2918.54,3172.26
0,108,g_a_cpu,cpu,3172.26,3172.61
0,108,h_a,dpu,3172.61,3174.17
0,108,eb_enc,cpu,3174.17,3174.31
0,108,eb_dec,cpu,3174.31,3174.48
0,108,h_s,dpu,3174.48,3183.63
0,108,gc,cpu,3183.63,3193.89
0,123,normalize,cpu,3194.85,3198.49
0,123,g_a_cpu,cpu,3198.49,3198.78
0,123,g_a,dpu,3198.78,3339.16
0,123,g_a,dpu,3339.16,3448
0,123,g_a_cpu,cpu,3448,3448.35
0,123,h_a,dpu,3448.35,3487.23
0,123,eb_enc,cpu,3487.23,3487.41
0,123,eb_dec,cpu,3487.41,3487.59
0,123,h_s,dpu,3487.59,3490.06
0,123,gc,cpu,3490.06,3500.22
0,133,normalize,cpu,3500.82,3504.49
0,133,g_a_cpu,cpu,3504.49,3504.86
0,133,g_a,dpu,3504.86,3611.4
0,133,g_a,dpu,3611.4,3720.31
0,133,g_a_cpu,cpu,3720.31,3720.77
0,133,h_a,dpu,3720.77,3794.5
0,133,eb_enc,cpu,3794.5,3794.67
0,133,eb_dec,cpu,3794.67,3794.82
0,133,h_s,dpu,3794.82,3797.8
0,133,gc,cpu,3797.8,3808.27
0,144,normalize,cpu,3808.93,3812.69
0,144,g_a_cpu,cpu,3812.7,3813.27
0,144,g_a,dpu,3813.28,3883.54
0,144,g_a,dpu,3883.54,3919.95
0,144,g_a_cpu,cpu,3919.95,3920.29
0,144,h_a,dpu,3920.29,3921.52
0,144,eb_enc,cpu,3921.52,3921.65
0,144,eb_dec,cpu,3921.65,3921.79
0,144,h_s,dpu,3921.79,4031.47
0,144,gc,cpu,4031.48,4041.19
0,155,normalize,cpu,4041.65,4045.3
0,155,g_a_cpu,cpu,4045.3,4045.58
0,155,g_a,dpu,4045.59,4148.49
0,155,g_a,dpu,4148.49,4222.4
0,155,g_a_cpu,cpu,4222.4,4222.79
0,155,h_a,dpu,4222.79,4262.17
0,155,eb_enc,cpu,4262.17,4262.3
0,155,eb_dec,cpu,4262.31,4262.44
0,155,h_s,dpu,4262.44,4336.25
0,155,gc,cpu,4336.25,4345.89
0,167,normalize,cpu,4346.61,4350.24
0,167,g_a_cpu,cpu,4350.24,4350.61
0,167,g_a,dpu,4350.61,4452.34
0,167,g_a,dpu,4452.34,4525.73
0,167,g_a_cpu,cpu,4525.73,4526.12
0,167,h_a,dpu,4526.13,4528.29
0,167,eb_enc,cpu,4528.29,4528.52
0,167,eb_dec,cpu,4528.52,4528.73
0,167,h_s,dpu,4528.73,4711.52
0,167,gc,cpu,4711.52,4721.29
0,179,normalize,cpu,4721.79,4726.71
0,179,g_a_cpu,cpu,4726.71,4727.07
0,179,g_a,dpu,4727.07,4764.6
0,179,g_a,dpu,4764.6,4908.95
0,179,g_a_cpu,cpu,4908.95,4909.38
0,179,h_a,dpu,4909.38,5018.44
0,179,eb_enc,cpu,5018.44,5018.61
0,179,eb_dec,cpu,5018.61,5018.76
0,179,h_s,dpu,5018.77,5021.92
0,179,gc,cpu,5021.92,5031.91
0,190,normalize,cpu,5032.47,5036.18
0,190,g_a_cpu,cpu,5036.19,5036.6
0,190,g_a,dpu,5036.6,5073.22
0,190,g_a,dpu,5073.22,5217.34
0,190,g_a_cpu,cpu,5217.34,5217.77
0,190,h_a,dpu,5217.77,5326.47
0,190,eb_enc,cpu,5326.47,5326.66
0,190,eb_dec,cpu,5326.66,5326.82
0,190,h_s,dpu,5326.82,5329.92
0,190,gc,cpu,5329.92,5340.44
0,202,normalize,cpu,5341.11,5344.79
0,202,g_a_cpu,cpu,5344.8,5345.22
0,202,g_a,dpu,5345.22,5381.93
0,202,g_a,dpu,5381.93,5528.08
0,202,g_a_cpu,cpu,5528.08,5528.41
0,202,h_a,dpu,5528.41,5529.58
0,202,eb_enc,cpu,5529.58,5529.71
0,202,eb_dec,cpu,5529.71,5529.84
0,202,h_s,dpu,5529.84,5603.29
0,202,gc,cpu,5603.29,5613.1
0,214,normalize,cpu,5613.61,5617.26
0,214,g_a_cpu,cpu,5617.26,5617.7
0,214,g_a,dpu,5617.7,5723.52
0,214,g_a,dpu,5723.52,5760.29
0,214,g_a_cpu,cpu,5760.3,5760.98
0,214,h_a,dpu,5760.98,5835.35
0,214,eb_enc,cpu,5835.35,5835.48
0,214,eb_dec,cpu,5835.48,5835.62
0,214,h_s,dpu,5835.62,5877.36
0,214,gc,cpu,5877.36,5887.45
0,226,normalize,cpu,5887.96,5891.6
0,226,g_a_cpu,cpu,5891.6,5891.89
0,226,g_a,dpu,5891.9,5950.9
0,226,g_a,dpu,5950.91,6063.2
0,226,g_a_cpu,cpu,6063.21,6063.75
0,226,h_a,dpu,6063.75,6172.89
0,226,eb_enc,cpu,6172.89,6173.1
0,226,eb_dec,cpu,6173.1,6173.3
0,226,h_s,dpu,6173.3,6246.93
0,226,gc,cpu,6246.93,6257.15
0,238,normalize,cpu,6257.73,6261.49
0,238,g_a_cpu,cpu,6261.5,6262.04
0,238,g_a,dpu,6262.04,6298.85
0,238,g_a,dpu,6298.86,6564.22
0,238,g_a_cpu,cpu,6564.22,6564.66
0,238,h_a,dpu,6564.66,6607.38
0,238,eb_enc,cpu,6607.38,6607.52
0,238,eb_dec,cpu,6607.52,6607.67
0,238,h_s,dpu,6607.67,6682.76
0,238,gc,cpu,6682.77,6693.46
0,255,normalize,cpu,6693.96,6697.63
0,255,g_a_cpu,cpu,6697.63,6698.04
0,255,g_a,dpu,6698.04,6868.19
0,255,g_a,dpu,6868.2,6942.44
0,255,g_a_cpu,cpu,6942.44,6942.89
0,255,h_a,dpu,6942.89,7055.44
0,255,eb_enc,cpu,7055.44,7055.6
0,255,eb_dec,cpu,7055.6,7055.78
0,255,h_s,dpu,7055.78,7093.99
0,255,gc,cpu,7093.99,7104.55
0,274,normalize,cpu,7105.18,7108.91
0,274,g_a_cpu,cpu,7108.92,7109.35
0,274,g_a,dpu,7109.35,7145.88
0,274,g_a,dpu,7145.89,7289.44
0,274,g_a_cpu,cpu,7289.44,7289.86
0,274,h_a,dpu,7289.86,7382.55
0,274,eb_enc,cpu,7382.55,7382.72
0,274,eb_dec,cpu,7382.72,7382.87
0,274,h_s,dpu,7382.87,7427.72
0,274,gc,cpu,7427.72,7438.03
0,289,normalize,cpu,7438.87,7442.48
0,289,g_a_cpu,cpu,7442.49,7442.87
0,289,g_a,dpu,7442.87,7579.39
0,289,g_a,dpu,7579.39,7723.82
0,289,g_a_cpu,cpu,7723.82,7724.29
0,289,h_a,dpu,7724.29,7727.11
0,289,eb_enc,cpu,7727.11,7727.24
0,289,eb_dec,cpu,7727.24,7727.4
0,289,h_s,dpu,7727.4,7730.16
0,289,gc,cpu,7730.16,7740.45
0,299,normalize,cpu,7741.14,7744.84
0,299,g_a_cpu,cpu,7744.84,7745.24
0,299,g_a,dpu,7745.25,7852.18
0,299,g_a,dpu,7852.18,7888.63
