lane,patch,stage,kind,t0_ms,t1_ms
-1,0,read,read,0.26065,64.6797
-1,1,read,read,64.7816,139.693
-1,2,read,read,139.718,250.473
-1,3,read,read,477.911,596.2
-1,4,read,read,908.039,1000.67
-1,5,read,read,1303.12,1411.46
-1,6,read,read,1716.47,1817.55
-1,7,read,read,2133.94,2226.29
-1,8,read,read,2550.68,2656.42
-1,9,read,read,2954.57,3030.84
-1,10,read,read,3363.69,3410.42
-1,11,read,read,3766.51,3806.85
-1,12,read,read,4182.87,4263.89
-1,13,read,read,4600.25,4645.64
-1,14,read,read,4990.13,5035.02
-1,15,read,read,5397.53,5448.19
0,0,normalize,cpu,65.2409,68.9957
0,0,g_a_cpu,cpu,79.8532,80.3423
0,0,g_a,dpu,80.3476,89.6004
0,0,g_a,dpu,89.6035,99.0454
0,0,g_a_cpu,cpu,99.0474,99.6592
0,0,h_a,dpu,99.6672,107.073
0,0,eb_enc,cpu,107.074,107.229
0,0,eb_dec,cpu,107.229,107.371
0,0,h_s,dpu,107.371,119.574
0,0,gc,cpu,119.584,157.718
0,10,normalize,cpu,158.324,162.041
0,10,g_a_cpu,cpu,162.047,162.447
0,10,g_a,dpu,162.453,170.419
0,10,g_a,dpu,170.42,179.751
0,10,g_a_cpu,cpu,179.752,180.447
0,10,h_a,dpu,180.451,193.239
0,10,eb_enc,cpu,193.24,193.461
0,10,eb_dec,cpu,193.466,193.753
0,10,h_s,dpu,193.753,198.95
0,10,gc,cpu,198.952,224.466
0,20,normalize,cpu,225.018,228.764
0,20,g_a_cpu,cpu,228.77,229.288
0,20,g_a,dpu,229.293,237.591
0,20,g_a,dpu,237.593,243.756
0,20,g_a_cpu,cpu,243.759,244.514
0,20,h_a,dpu,244.518,249.138
0,20,eb_enc,cpu,249.14,249.455
0,20,eb_dec,cpu,249.459,249.672
0,20,h_s,dpu,249.673,258.952
0,20,gc,cpu,258.953,271.003
0,25,normalize,cpu,271.585,275.247
0,25,g_a_cpu,cpu,275.252,275.619
0,25,g_a,dpu,275.623,288.17
0,25,g_a,dpu,288.178,293.441
0,25,g_a_cpu,cpu,293.444,294.04
0,25,h_a,dpu,294.049,308.253
0,25,eb_enc,cpu,308.254,308.402
0,25,eb_dec,cpu,308.403,308.537
0,25,h_s,dpu,308.538,318.222
0,25,gc,cpu,318.224,328.653
0,33,normalize,cpu,329.249,332.944
0,33,g_a_cpu,cpu,332.949,333.535
0,33,g_a,dpu,333.541,340.653
0,33,g_a,dpu,340.656,346.362
0,33,g_a_cpu,cpu,346.364,346.732
0,33,h_a,dpu,346.734,356.579
0,33,eb_enc,cpu,356.58,356.717
0,33,eb_dec,cpu,356.717,356.858
0,33,h_s,dpu,356.858,361.251
0,33,gc,cpu,361.252,372.391
0,41,normalize,cpu,372.932,376.705
0,41,g_a_cpu,cpu,376.71,377.09
0,41,g_a,dpu,377.092,382.344
0,41,g_a,dpu,382.346,387.648
0,41,g_a_cpu,cpu,387.652,388.53
0,41,h_a,dpu,388.532,392.663
0,41,eb_enc,cpu,392.664,392.894
0,41,eb_dec,cpu,392.894,393.081
0,41,h_s,dpu,393.081,396.992
0,41,gc,cpu,396.993,422.386
0,49,normalize,cpu,423.193,428.547
