lane,patch,stage,kind,t0_ms,t1_ms
0,0,normalize,cpu,65.2849,94.2969
0,0,g_a_cpu,cpu,94.4626,94.8073
0,0,g_a,dpu,94.8332,118.103
0,0,g_a,dpu,118.108,128.964
0,0,g_a_cpu,cpu,128.966,129.37
0,0,eb_enc,cpu,129.379,190.348
0,32,normalize,cpu,190.865,203.02
0,32,g_a_cpu,cpu,203.024,205.342
0,32,g_a,dpu,205.813,243.769
0,32,g_a,dpu,243.775,266.294
0,32,g_a_cpu,cpu,266.296,266.805
0,32,eb_enc,cpu,266.809,300.06
0,44,normalize,cpu,300.553,314.681
0,44,g_a_cpu,cpu,314.684,315.137
0,44,g_a,dpu,315.14,323.962
0,44,g_a,dpu,323.964,329.055
0,44,g_a_cpu,cpu,329.057,329.95
0,44,eb_enc,cpu,329.961,401.481
0,58,normalize,cpu,505.35,542.377
0,58,g_a_cpu,cpu,542.392,542.83
0,58,g_a,dpu,542.832,569.034
0,58,g_a,dpu,569.037,576.137
0,58,g_a_cpu,cpu,576.139,576.675
0,58,eb_enc,cpu,576.678,601.993
0,92,normalize,cpu,602.484,625.975
0,92,g_a_cpu,cpu,625.978,626.461
0,92,g_a,dpu,626.463,690.637
0,92,g_a,dpu,690.64,745.675
0,92,g_a_cpu,cpu,745.679,746.302
0,92,eb_enc,cpu,746.306,754.328
0,116,normalize,cpu,920.859,961.901
0,116,g_a_cpu,cpu,961.916,962.464
0,116,g_a,dpu,962.47,988.955
0,116,g_a,dpu,988.965,994.163
0,116,g_a_cpu,cpu,994.164,994.621
0,116,eb_enc,cpu,994.624,1016.57
0,149,normalize,cpu,1018.04,1028.76
0,149,g_a_cpu,cpu,1028.76,1029.43
0,149,g_a,dpu,1029.43,1130.91
0,149,g_a,dpu,1130.91,1167.04
0,149,g_a_cpu,cpu,1167.04,1167.57
0,149,eb_enc,cpu,1167.58,1176.66
0,174,normalize,cpu,1316.19,1377.23
0,174,g_a_cpu,cpu,1377.24,1377.68
0,174,g_a,dpu,1377.68,1382.82
0,174,g_a,dpu,1382.83,1388.36
0,174,g_a_cpu,cpu,1388.36,1388.74
0,174,eb_enc,cpu,1388.74,1411.03
0,206,normalize,cpu,1411.7,1420.97
0,206,g_a_cpu,cpu,1420.97,1421.47
0,206,g_a,dpu,1421.47,1478.93
0,206,g_a,dpu,1478.93,1542.43
0,206,g_a_cpu,cpu,1542.43,1542.93
0,206,eb_enc,cpu,1542.93,1559.31
0,232,normalize,cpu,1689.13,1734.14
0,232,g_a_cpu,cpu,1734.16,1734.56
0,232,g_a,dpu,1734.56,1782.62
0,232,g_a,dpu,1782.62,1845.76
0,232,g_a_cpu,cpu,1845.76,1846.37
0,232,eb_enc,cpu,1846.37,1854.05
0,276,normalize,cpu,1854.62,1863.75
0,276,g_a_cpu,cpu,1863.75,1864.34
0,276,g_a,dpu,1864.35,1929.61
0,276,g_a,dpu,1929.62,1983.08
0,276,g_a_cpu,cpu,1983.09,1983.61
0,276,eb_enc,cpu,1983.63,1991.36
0,290,normalize,cpu,2080.55,2136.36
0,290,g_a_cpu,cpu,2136.37,2136.76
0,290,g_a,dpu,2136.76,2148.98
0,290,g_a,dpu,2148.98,2156.01
0,290,g_a_cpu,cpu,2156.01,2156.73
0,290,eb_enc,cpu,2156.73,2179.05
0,324,normalize,cpu,2179.88,2188.95
0,324,g_a_cpu,cpu,2188.95,2189.53
0,324,g_a,dpu,2189.54,2195.26
0,324,g_a,dpu,2195.26,2259.67
0,324,g_a_cpu,cpu,2259.68,2260.17
