lane,patch,stage,kind,t0_ms,t1_ms
-1,0,read,read,0.24818,65.3304
-1,1,read,read,65.4748,202.852
-1,2,read,read,202.891,282.496
-1,3,read,read,335.064,434.265
-1,4,read,read,608.84,696.276
-1,5,read,read,881.145,1008.52
-1,6,read,read,1154.54,1269
-1,7,read,read,1437.55,1546.65
-1,8,read,read,1712.97,1826.01
-1,9,read,read,1990.22,2042.59
-1,10,read,read,2262.57,2347.92
-1,11,read,read,2525.56,2571.49
-1,12,read,read,2799.39,2882.81
-1,13,read,read,3087.75,3131.57
-1,14,read,read,3362.36,3441.15
-1,15,read,read,3627.27,3672.61
-1,16,read,read,3901.34,4004.16
-1,17,read,read,4172.91,4241.34
-1,18,read,read,4448.96,4518.18
-1,19,read,read,4715.02,4770.2
-1,20,read,read,4987.37,5105.79
-1,21,read,read,5251.85,5311.75
-1,22,read,read,5522.69,5605.21
-1,23,read,read,5790.87,5882.87
-1,24,read,read,6052.78,6153.22
-1,25,read,read,6323.48,6368.11
-1,26,read,read,6597.6,6655.85
-1,27,read,read,6861.72,6917.72
-1,28,read,read,7138.9,7256.78
-1,29,read,read,7412.37,7457.52
-1,30,read,read,7681.32,7744.81
-1,31,read,read,7947.39,7991.75
-1,32,read,read,8227.25,8299.44
-1,33,read,read,8495.94,8557.26
-1,34,read,read,8766.53,8819.6
-1,35,read,read,9050.76,9119.93
-1,36,read,read,9319.76,9412.3
-1,37,read,read,9595.55,9649.3
-1,38,read,read,9866.17,9924.59
-1,39,read,read,10140.9,10203.7
-1,40,read,read,10409.7,10507.3
-1,41,read,read,10684.4,10755.7
-1,42,read,read,10960.5,11041.6
-1,43,read,read,11234.1,11274.9
-1,44,read,read,11504.4,11611.8
-1,45,read,read,11772.9,11842.5
-1,46,read,read,12033.7,12119
-1,47,read,read,12310,12354.4
-1,48,read,read,12584.2,12672.8
-1,49,read,read,12853.2,12896.6
-1,50,read,read,13141.1,13219.1
-1,51,read,read,13403.5,13454.6
-1,52,read,read,13685.7,13773
-1,53,read,read,13971.1,14040.1
-1,54,read,read,14236.1,14307.5
-1,55,read,read,14495.1,14557.6
-1,56,read,read,14765.4,14896.1
-1,57,read,read,15038.4,15091.2
-1,58,read,read,15309.5,15383
-1,59,read,read,15579.9,15651.5
-1,60,read,read,15843.1,15947.2
-1,61,read,read,16118.8,16172
-1,62,read,read,16405.8,16486.4
-1,63,read,read,16664.6,16709.5
-1,64,read,read,16942.3,17030.6
-1,65,read,read,17228.6,17305.1
-1,66,read,read,17485.4,17543.2
-1,67,read,read,17766,17835.6
-1,68,read,read,18038,18133.9
-1,69,read,read,18308.3,18353.6
-1,70,read,read,18576.3,18621
-1,71,read,read,18848.6,18889.8
-1,72,read,read,19127,19272.2
-1,73,read,read,19399.4,19466.8
-1,74,read,read,19672.7,19739.5
-1,75,read,read,19955.5,20034
-1,76,read,read,20228.3,20340.8
-1,77,read,read,20502.6,20560.7
-1,78,read,read,20759,20820.3
-1,79,read,read,21028,21084.2
-1,80,read,read,21305.8,21414.2
-1,81,read,read,21580.4,21650.6
-1,82,read,read,21837.3,21912.2
-1,83,read,read,22113.4,22163.9
-1,84,read,read,22392.7,22509.5
-1,85,read,read,22664.1,22720.8
-1,86,read,read,22933.1,23017.4
-1,87,read,read,23211.3,23282.1
-1,88,read,read,23489,23598.8
-1,89,read,read,23764.1,23816.7
-1,90,read,read,24033.9,24102.9
-1,91,read,read,24304.9,24359.8
-1,92,read,read,24582,24678.8
-1,93,read,read,24848.9,24917.4
-1,94,read,read,25122.1,25177
-1,95,read,read,25394.6,25461.3
-1,96,read,read,25674.2,25739.2
-1,97,read,read,25942.3,25995.8
-1,98,read,read,26228.3,26312.1
-1,99,read,read,26482.4,26561.4
-1,100,read,read,26750.3,26847.9
-1,101,read,read,27025.3,27107.6
-1,102,read,read,27290.2,27360.3
-1,103,read,read,27560.5,27605.3
