lane,patch,stage,kind,t0_ms,t1_ms
-1,0,read,read,0.22331,64.7335
-1,1,read,read,64.8495,125.731
-1,2,read,read,125.756,184.67
-1,3,read,read,1377.85,1437.32
-1,4,read,read,2777.82,2837.79
-1,5,read,read,4183.6,4248.35
-1,6,read,read,5574.21,5644.64
-1,7,read,read,6975.16,7034.66
-1,8,read,read,8394.35,8454.04
-1,9,read,read,9796.27,9829.56
-1,10,read,read,11181.8,11213.8
-1,11,read,read,12604.7,12641.8
-1,12,read,read,13976.7,14034.5
-1,13,read,read,15392,15427.1
-1,14,read,read,16781.1,16810
-1,15,read,read,18163.8,18196.2
-1,16,read,read,19565.7,19632.1
-1,17,read,read,20993,21032.4
-1,18,read,read,22369.1,22402.3
-1,19,read,read,23776.3,23808.5
-1,20,read,read,25149.4,25210.6
-1,21,read,read,26579.2,26613.3
-1,22,read,read,28008.7,28048.8
-1,23,read,read,29388.4,29421.2
-1,24,read,read,30785.8,30847.5
-1,25,read,read,32217.6,32251.3
-1,26,read,read,33595.9,33627.8
-1,27,read,read,34997.1,35027.4
-1,28,read,read,36415.3,36475.4
-1,29,read,read,37809.3,37842.8
-1,30,read,read,39202.5,39236
-1,31,read,read,40596.7,40626.6
-1,32,read,read,42017.3,42080.2
-1,33,read,read,43397,43428.7
-1,34,read,read,44811.7,44846.2
-1,35,read,read,46193.9,46228.1
-1,36,read,read,47617.6,47674.2
-1,37,read,read,49029.6,49064.4
-1,38,read,read,50436.8,50473
-1,39,read,read,51835.2,51868.2
-1,40,read,read,53221.8,53280.4
-1,41,read,read,54659.6,54694.7
-1,42,read,read,56045.9,56080.8
-1,43,read,read,57457,57491.4
-1,44,read,read,58832.1,58888.6
-1,45,read,read,60267.2,60305.3
-1,46,read,read,61682.9,61717.3
-1,47,read,read,63059.9,63098
-1,48,read,read,64461.5,64516.9
-1,49,read,read,65881.1,65916.8
-1,50,read,read,67304.7,67339.3
-1,51,read,read,68655.1,68691.4
-1,52,read,read,70075,70135.7
-1,53,read,read,71478,71511.1
-1,54,read,read,72837.4,72869.4
-1,55,read,read,74266.8,74301.1
-1,56,read,read,75670.2,75728.5
-1,57,read,read,77060.5,77094
-1,58,read,read,78442.4,78475
-1,59,read,read,79850.2,79884.3
-1,60,read,read,81278.4,81340.9
-1,61,read,read,82667.9,82703.3
-1,62,read,read,84051.4,84084.2
-1,63,read,read,85454.2,85493.1
-1,64,read,read,86873.7,86931.9
-1,65,read,read,88285.9,88315.8
-1,66,read,read,89711.2,89750.7
-1,67,read,read,91077.1,91112.7
-1,68,read,read,92491.1,92551.2
-1,69,read,read,93874.5,93907.2
-1,70,read,read,95264.7,95299.4
-1,71,read,read,96684.8,96719.7
-1,72,read,read,98102.7,98163.4
-1,73,read,read,99451.5,99482.3
-1,74,read,read,100873,100909
-1,75,read,read,102301,102339
-1,76,read,read,103684,103744
-1,77,read,read,105101,105133
-1,78,read,read,106455,106488
-1,79,read,read,107878,107915
-1,80,read,read,109298,109359
-1,81,read,read,110700,110730
-1,82,read,read,112117,112151
-1,83,read,read,113509,113542
-1,84,read,read,114897,114957
-1,85,read,read,116301,116330
-1,86,read,read,117697,117732
-1,87,read,read,119086,119123
-1,88,read,read,120519,120580
-1,89,read,read,121905,121936
-1,90,read,read,123304,123341
-1,91,read,read,124699,124735
-1,92,read,read,126128,126196
-1,93,read,read,127491,127522
-1,94,read,read,128911,128945
-1,95,read,read,130323,130357
-1,96,read,read,131746,131807
-1,97,read,read,133102,133134
-1,98,read,read,134523,134558
-1,99,read,read,135939,135974
-1,100,read,read,137295,137355
-1,101,read,read,138713,138745
-1,102,read,read,140116,140151
-1,103,read,read,141529,141562
-1,104,read,read,142887,142944
-1,105,read,read,144305,144339
-1,106,read,read,145728,145764
-1,107,read,read,147078,147110
-1,108,read,read,148506,148566
-1,109,read,read,149911,149943
-1,110,read,read,151349,151383
-1,111,read,read,152699,152736
-1,112,read,read,154115,154175
-1,113,read,read,155546,155579
-1,114,read,read,156903,156935
-1,115,read,read,158328,158362
-1,116,read,read,159731,159792
-1,117,read,read,161135,161164
-1,118,read,read,162533,162566
-1,119,read,read,163953,163989
-1,120,read,read,165339,165398
-1,121,read,read,166744,166775
-1,122,read,read,168127,168162
-1,123,read,read,169552,169588
-1,124,read,read,170946,171010
-1,125,read,read,172337,172366
-1,126,read,read,173756,173792
-1,127,read,read,175156,175192
-1,128,read,read,176531,176591
-1,129,read,read,177954,177989
0,1,normalize,cpu,65.3069,69.0667
0,1,g_a_cpu,cpu,76.1498,76.7967
0,1,g_a,dpu,76.8006,147.148
0,1,g_a,dpu,147.155,219.191
0,1,g_a_cpu,cpu,219.193,219.654
0,1,eb_enc,cpu,219.666,225.768
0,9,normalize,cpu,226.304,229.987
0,9,g_a_cpu,cpu,229.99,230.29
0,9,g_a,dpu,230.293,291.025
0,9,g_a,dpu,291.03,362.787
0,9,g_a_cpu,cpu,362.79,363.282
0,9,eb_enc,cpu,363.284,368.033
0,15,normalize,cpu,368.56,372.213
0,15,g_a_cpu,cpu,372.215,372.527
0,15,g_a,dpu,372.53,434.598
0,15,g_a,dpu,434.599,506.435
0,15,g_a_cpu,cpu,506.438,506.905
0,15,eb_enc,cpu,506.917,511.774
0,21,normalize,cpu,512.215,515.854
0,21,g_a_cpu,cpu,515.857,516.209
0,21,g_a,dpu,516.212,578.258
0,21,g_a,dpu,578.259,650.067
0,21,g_a_cpu,cpu,650.069,650.447
0,21,eb_enc,cpu,650.449,655.331
0,27,normalize,cpu,655.779,659.422
0,27,g_a_cpu,cpu,659.426,659.765
0,27,g_a,dpu,659.767,724.368
0,27,g_a,dpu,724.369,796.132
0,27,g_a_cpu,cpu,796.133,796.516
0,27,eb_enc,cpu,796.518,801.436
0,33,normalize,cpu,801.871,805.535
0,33,g_a_cpu,cpu,805.538,805.802
0,33,g_a,dpu,805.805,868.545
0,33,g_a,dpu,868.557,940.191
0,33,g_a_cpu,cpu,940.193,940.708
0,33,eb_enc,cpu,940.712,945.55
0,39,normalize,cpu,946.105,949.782
0,39,g_a_cpu,cpu,949.785,950.107
0,39,g_a,dpu,950.109,1012.07
0,39,g_a,dpu,1012.07,1083.95
0,39,g_a_cpu,cpu,1083.96,1084.5
0,39,eb_enc,cpu,1084.5,1089.4
0,45,normalize,cpu,1089.93,1093.61
0,45,g_a_cpu,cpu,1093.61,1093.92
0,45,g_a,dpu,1093.92,1155.87
0,45,g_a,dpu,1155.87,1227.64
0,45,g_a_cpu,cpu,1227.65,1228.11
0,45,eb_enc,cpu,1228.11,1233.11
0,51,normalize,cpu,1233.62,1237.27
0,51,g_a_cpu,cpu,1237.27,1237.58
0,51,g_a,dpu,1237.59,1299.6
