lane,patch,stage,kind,t0_ms,t1_ms
0,0,normalize,cpu,65.8076,94.9218
0,0,g_a_cpu,cpu,95.0269,95.4176
0,0,g_a,dpu,95.426,132.135
0,0,g_a,dpu,132.138,168.505
0,0,g_a_cpu,cpu,168.505,168.899
0,0,h_a,dpu,168.905,388.252
0,0,eb_enc,cpu,388.253,388.398
0,0,eb_dec,cpu,388.398,388.515
0,0,h_s,dpu,388.515,564.687
0,0,gc,cpu,564.692,582.041
0,22,normalize,cpu,582.603,591.683
0,22,g_a_cpu,cpu,591.688,592.14
0,22,g_a,dpu,592.144,653.855
0,22,g_a,dpu,653.857,698.904
0,22,g_a_cpu,cpu,698.907,699.423
0,22,h_a,dpu,699.426,803.831
0,22,eb_enc,cpu,803.832,803.975
0,22,eb_dec,cpu,803.977,804.099
0,22,h_s,dpu,804.099,986.181
0,22,gc,cpu,986.182,997.501
0,40,normalize,cpu,997.974,1007.86
0,40,g_a_cpu,cpu,1007.86,1008.24
0,40,g_a,dpu,1008.24,1154.84
0,40,g_a,dpu,1154.84,1191.19
0,40,g_a_cpu,cpu,1191.19,1191.59
0,40,h_a,dpu,1191.6,1249.56
0,40,eb_enc,cpu,1249.56,1249.73
0,40,eb_dec,cpu,1249.73,1249.84
0,40,h_s,dpu,1249.84,1375.85
0,40,gc,cpu,1375.85,1396.59
0,58,normalize,cpu,1708.87,1725.98
0,58,g_a_cpu,cpu,1725.99,1726.41
0,58,g_a,dpu,1726.41,1779.02
0,58,g_a,dpu,1779.03,2030.1
0,58,g_a_cpu,cpu,2030.1,2030.6
0,58,h_a,dpu,2030.61,2182.13
0,58,eb_enc,cpu,2182.13,2182.32
0,58,eb_dec,cpu,2182.33,2182.45
0,58,h_s,dpu,2182.45,2222.97
0,58,gc,cpu,2222.98,2234.18
0,79,normalize,cpu,2234.67,2246.07
0,79,g_a_cpu,cpu,2246.08,2246.56
0,79,g_a,dpu,2246.56,2331.51
0,79,g_a,dpu,2331.51,2367.9
0,79,g_a_cpu,cpu,2367.9,2368.27
0,79,h_a,dpu,2368.27,2557.77
0,79,eb_enc,cpu,2557.77,2557.91
0,79,eb_dec,cpu,2557.91,2558.03
0,79,h_s,dpu,2558.03,2698.92
0,79,gc,cpu,2698.92,2709.96
0,98,normalize,cpu,2710.43,2719.45
0,98,g_a_cpu,cpu,2719.46,2719.66
0,98,g_a,dpu,2719.66,2857.58
0,98,g_a,dpu,2857.58,3018.67
0,98,g_a_cpu,cpu,3018.67,3019
0,98,h_a,dpu,3019,3147.01
0,98,eb_enc,cpu,3147.01,3147.15
0,98,eb_dec,cpu,3147.16,3147.28
0,98,h_s,dpu,3147.28,3191.46
0,98,gc,cpu,3191.46,3202.32
0,116,normalize,cpu,3438.27,3471.37
0,116,g_a_cpu,cpu,3471.38,3471.89
0,116,g_a,dpu,3471.89,3508.64
0,116,g_a,dpu,3508.65,3760.36
0,116,g_a_cpu,cpu,3760.36,3760.76
