lane,patch,stage,kind,t0_ms,t1_ms
-1,0,read,read,0.25475,69.4706
-1,1,read,read,69.6136,141.868
-1,2,read,read,141.893,203.841
-1,3,read,read,1421.29,1489.62
-1,4,read,read,2897.34,2959.24
-1,5,read,read,4455.69,4522.31
-1,6,read,read,5926.16,6002.11
-1,7,read,read,7320.79,7381.97
-1,8,read,read,8972.38,9036.59
-1,9,read,read,10486.4,10518.4
-1,10,read,read,11804.5,11838.9
-1,11,read,read,13341.5,13378.2
-1,12,read,read,14920.3,14989.1
-1,13,read,read,16470.3,16507.8
-1,14,read,read,18009.3,18046.1
-1,15,read,read,19523.5,19563.6
-1,16,read,read,21072.3,21139.3
-1,17,read,read,22509.7,22546.3
-1,18,read,read,23921.2,23954.2
-1,19,read,read,25410.2,25445.7
-1,20,read,read,26994.4,27058.5
-1,21,read,read,28540,28579.7
-1,22,read,read,30030,30065.1
-1,23,read,read,31555.4,31595.4
-1,24,read,read,33056.4,33124.1
-1,25,read,read,34626.9,34675.4
-1,26,read,read,36018.8,36053.1
-1,27,read,read,37489.3,37524.1
-1,28,read,read,39034.2,39097.7
-1,29,read,read,40592.8,40631.6
-1,30,read,read,42063.1,42098
-1,31,read,read,43599.3,43633.4
-1,32,read,read,45112.8,45173.4
-1,33,read,read,46539,46573.6
-1,34,read,read,48118.6,48151.3
-1,35,read,read,49608.2,49653.5
-1,36,read,read,51094.1,51177.2
-1,37,read,read,52585.7,52628.8
-1,38,read,read,54123.9,54162.1
-1,39,read,read,55553.2,55588.9
-1,40,read,read,57118.3,57180.6
-1,41,read,read,58568.5,58603.8
-1,42,read,read,60027.3,60057.6
-1,43,read,read,61534.6,61569.1
-1,44,read,read,63025.5,63083.2
-1,45,read,read,64450.5,64486.5
-1,46,read,read,66034,66067.6
-1,47,read,read,67540.8,67579.3
-1,48,read,read,69094.1,69154.7
-1,49,read,read,70615.7,70660.5
-1,50,read,read,72128.6,72164.8
-1,51,read,read,73585.2,73620.8
-1,52,read,read,75097.5,75156.5
-1,53,read,read,76596.7,76655.8
-1,54,read,read,78075.2,78108.5
-1,55,read,read,79549.8,79584.5
-1,56,read,read,81030,81090
-1,57,read,read,82561.8,82599.1
-1,58,read,read,84066.4,84102.3
-1,59,read,read,85557.7,85591.6
-1,60,read,read,87116.3,87174.4
-1,61,read,read,88501.2,88534.8
-1,62,read,read,90026.7,90064.2
-1,63,read,read,91549.5,91586.2
-1,64,read,read,93068.7,93129.4
-1,65,read,read,94556.9,94591.2
-1,66,read,read,96091.6,96133.4
-1,67,read,read,97651,97688.6
-1,68,read,read,99244,99339.4
-1,69,read,read,100658,100691
-1,70,read,read,102116,102158
-1,71,read,read,103602,103639
-1,72,read,read,105121,105182
-1,73,read,read,106616,106657
-1,74,read,read,108198,108237
-1,75,read,read,109725,109764
-1,76,read,read,111206,111276
-1,77,read,read,112687,112723
-1,78,read,read,114153,114192
-1,79,read,read,115599,115634
-1,80,read,read,117144,117210
-1,81,read,read,118705,118748
-1,82,read,read,120251,120300
-1,83,read,read,121715,121751
-1,84,read,read,123170,123229
-1,85,read,read,124657,124692
-1,86,read,read,126172,126209
-1,87,read,read,127712,127749
-1,88,read,read,129180,129239
-1,89,read,read,130693,130728
-1,90,read,read,132232,132273
-1,91,read,read,133761,133803
-1,92,read,read,135310,135378
-1,93,read,read,136803,136841
-1,94,read,read,138226,138262
-1,95,read,read,139746,139781
-1,96,read,read,141275,141345
-1,97,read,read,142678,142715
-1,98,read,read,144235,144271
-1,99,read,read,145778,145818
-1,100,read,read,147280,147350
-1,101,read,read,148640,148674
-1,102,read,read,150190,150226
-1,103,read,read,151746,151781
-1,104,read,read,153297,153358
-1,105,read,read,154731,154762
-1,106,read,read,156247,156285
-1,107,read,read,157631,157667
-1,108,read,read,159155,159215
-1,109,read,read,160700,160742
-1,110,read,read,162272,162309
-1,111,read,read,163770,163806
-1,112,read,read,165263,165323
-1,113,read,read,166774,166813
-1,114,read,read,168305,168343
-1,115,read,read,169819,169864
-1,116,read,read,171241,171305
-1,117,read,read,172777,172816
-1,118,read,read,174210,174246
-1,119,read,read,175753,175788
-1,120,read,read,177283,177340
-1,121,read,read,178796,178835
-1,122,read,read,180337,180391
-1,123,read,read,181696,181731
-1,124,read,read,183289,183351
-1,125,read,read,184783,184820
-1,126,read,read,186357,186403
-1,127,read,read,187845,187880
-1,128,read,read,189268,189325
-1,129,read,read,190804,190840
0,0,normalize,cpu,70.0609,93.7692
0,0,g_a_cpu,cpu,93.8193,94.1889
0,0,g_a,dpu,94.1942,377.127
0,0,g_a,dpu,377.13,413.464
0,0,g_a_cpu,cpu,413.466,413.967
0,0,h_a,dpu,413.976,462.261
0,0,eb_enc,cpu,462.263,462.411
0,0,eb_dec,cpu,462.413,462.579
0,0,h_s,dpu,462.579,463.687
0,0,gc,cpu,463.692,480.193
0,17,normalize,cpu,480.697,484.401
0,17,g_a_cpu,cpu,484.406,484.83
0,17,g_a,dpu,484.834,521.578
0,17,g_a,dpu,521.58,820.796
0,17,g_a_cpu,cpu,820.797,821.269
0,17,h_a,dpu,821.272,897.487
0,17,eb_enc,cpu,897.488,897.617
0,17,eb_dec,cpu,897.62,897.784
0,17,h_s,dpu,897.784,1094.51
0,17,gc,cpu,1094.51,1104.46
0,46,normalize,cpu,1105.08,1108.7
