lane,patch,stage,kind,t0_ms,t1_ms
0,0,normalize,cpu,69.0853,90.1465
0,0,g_a_cpu,cpu,107.383,107.668
0,0,g_a,dpu,107.676,154.822
0,0,g_a,dpu,154.825,184.891
0,0,g_a_cpu,cpu,184.892,185.322
0,0,h_a,dpu,185.328,186.936
0,0,eb_enc,cpu,186.937,187.147
0,0,eb_dec,cpu,187.147,187.286
0,0,h_s,dpu,187.287,205.021
0,0,gc,cpu,205.025,227.3
0,25,normalize,cpu,228.146,244.245
0,25,g_a_cpu,cpu,244.248,244.574
0,25,g_a,dpu,244.577,273.288
0,25,g_a,dpu,273.29,278.9
0,25,g_a_cpu,cpu,278.902,279.268
0,25,h_a,dpu,279.27,280.5
0,25,eb_enc,cpu,280.502,280.636
0,25,eb_dec,cpu,280.639,280.742
0,25,h_s,dpu,280.743,281.601
0,25,gc,cpu,281.601,299.461
0,29,normalize,cpu,299.831,309.821
0,29,g_a_cpu,cpu,309.825,310.258
0,29,g_a,dpu,310.261,345.398
0,29,g_a,dpu,345.4,370.605
0,29,g_a_cpu,cpu,370.607,371.101
0,29,h_a,dpu,371.103,372.624
0,29,eb_enc,cpu,372.625,372.764
0,29,eb_dec,cpu,372.765,372.868
0,29,h_s,dpu,372.868,373.724
0,29,gc,cpu,373.725,403.626
0,48,normalize,cpu,404.207,456.705
0,48,g_a_cpu,cpu,456.707,457.154
0,48,g_a,dpu,457.16,503.905
0,48,g_a,dpu,503.911,508.924
0,48,g_a_cpu,cpu,508.926,509.41
0,48,h_a,dpu,509.411,524.877
0,48,eb_enc,cpu,524.878,525.044
0,48,eb_dec,cpu,525.045,525.158
0,48,h_s,dpu,525.159,526.916
0,48,gc,cpu,526.917,539.404
0,58,normalize,cpu,644.91,665.981
0,58,g_a_cpu,cpu,665.996,666.422
0,58,g_a,dpu,666.425,698.984
0,58,g_a,dpu,698.986,705.922
0,58,g_a_cpu,cpu,705.923,706.34
0,58,h_a,dpu,706.341,709.723
0,58,eb_enc,cpu,709.724,709.862
0,58,eb_dec,cpu,709.862,709.971
0,58,h_s,dpu,709.971,711.227
0,58,gc,cpu,711.229,725.794
0,84,normalize,cpu,726.291,736.331
0,84,g_a_cpu,cpu,736.335,736.857
0,84,g_a,dpu,736.86,769.498
0,84,g_a,dpu,769.504,808.629
0,84,g_a_cpu,cpu,808.632,809.205
0,84,h_a,dpu,809.206,831.957
0,84,eb_enc,cpu,831.959,832.11
0,84,eb_dec,cpu,832.111,832.219
0,84,h_s,dpu,832.219,864.273
0,84,gc,cpu,864.274,890.029
0,102,normalize,cpu,910.821,976.62
0,102,g_a_cpu,cpu,976.626,982.605
0,102,g_a,dpu,982.61,1000.05
0,102,g_a,dpu,1000.05,1025.45
0,102,g_a_cpu,cpu,1025.46,1026
0,102,h_a,dpu,1026.01,1033.22
0,102,eb_enc,cpu,1033.22,1033.36
0,102,eb_dec,cpu,1033.36,1033.47
0,102,h_s,dpu,1033.47,1036.17
0,102,gc,cpu,1036.17,1053.86
0,116,normalize,cpu,1165.66,1206.74
0,116,g_a_cpu,cpu,1206.75,1207.29
0,116,g_a,dpu,1207.29,1213.34
0,116,g_a,dpu,1213.34,1218.94
0,116,g_a_cpu,cpu,1218.94,1219.39
0,116,h_a,dpu,1219.39,1222.09
0,116,eb_enc,cpu,1222.09,1222.27
0,116,eb_dec,cpu,1222.27,1222.39
0,116,h_s,dpu,1222.39,1225.48
0,116,gc,cpu,1225.48,1247.84
0,142,normalize,cpu,1248.31,1257.57
0,142,g_a_cpu,cpu,1257.58,1258.02
0,142,g_a,dpu,1258.02,1291.09
0,142,g_a,dpu,1291.09,1329.5
0,142,g_a_cpu,cpu,1329.51,1330.2
0,142,h_a,dpu,1330.2,1341.03
0,142,eb_enc,cpu,1341.04,1341.18
0,142,eb_dec,cpu,1341.18,1341.28
0,142,h_s,dpu,1341.28,1354.21
0,142,gc,cpu,1354.21,1405.72
0,159,normalize,cpu,1406.08,1467.78
0,159,g_a_cpu,cpu,1467.78,1468.16
0,159,g_a,dpu,1468.16,1509.17
0,159,g_a,dpu,1509.17,1533.82
0,159,g_a_cpu,cpu,1533.82,1534.28
0,159,h_a,dpu,1534.28,1561.93
0,159,eb_enc,cpu,1561.93,1562.1
0,159,eb_dec,cpu,1562.1,1562.21
0,159,h_s,dpu,1562.21,1573.32
0,159,gc,cpu,1573.33,1591.44
0,174,normalize,cpu,1689.8,1738.87
0,174,g_a_cpu,cpu,1738.88,1739.24
0,174,g_a,dpu,1739.24,1744.46
0,174,g_a,dpu,1744.46,1749.75
0,174,g_a_cpu,cpu,1749.75,1750.24
0,174,h_a,dpu,1750.24,1751.91
0,174,eb_enc,cpu,1751.91,1752.09
0,174,eb_dec,cpu,1752.09,1752.19
0,174,h_s,dpu,1752.19,1753.71
0,174,gc,cpu,1753.71,1771.05
0,198,normalize,cpu,1771.85,1781.93
0,198,g_a_cpu,cpu,1781.93,1784.03
0,198,g_a,dpu,1784.04,1817.93
0,198,g_a,dpu,1817.94,1851.8
0,198,g_a_cpu,cpu,1851.81,1852.5
0,198,h_a,dpu,1852.5,1872.3
0,198,eb_enc,cpu,1872.3,1872.53
0,198,eb_dec,cpu,1872.53,1872.65
0,198,h_s,dpu,1872.65,1875.85
0,198,gc,cpu,1875.85,1931.3
0,216,normalize,cpu,1931.74,1958.55
0,216,g_a_cpu,cpu,1958.55,1982.14
0,216,g_a,dpu,1982.15,2016.95
0,216,g_a,dpu,2016.95,2040.03
0,216,g_a_cpu,cpu,2040.03,2040.41
0,216,h_a,dpu,2040.42,2058.82
0,216,eb_enc,cpu,2058.82,2058.97
0,216,eb_dec,cpu,2058.97,2059.08
0,216,h_s,dpu,2059.08,2060.16
0,216,gc,cpu,2060.17,2077.81
0,232,normalize,cpu,2199.04,2232.09
0,232,g_a_cpu,cpu,2232.1,2232.45
0,232,g_a,dpu,2232.45,2250.9
0,232,g_a,dpu,2250.9,2256.51
0,232,g_a_cpu,cpu,2256.51,2256.98
0,232,h_a,dpu,2256.98,2260.93
0,232,eb_enc,cpu,2260.93,2261.16
0,232,eb_dec,cpu,2261.16,2261.35
0,232,h_s,dpu,2261.35,2264.69
0,232,gc,cpu,2264.69,2280.22
0,257,normalize,cpu,2280.81,2289.9
0,257,g_a_cpu,cpu,2289.9,2290.43
0,257,g_a,dpu,2290.44,2319.67
0,257,g_a,dpu,2319.68,2345.96
0,257,g_a_cpu,cpu,2345.96,2346.42
0,257,h_a,dpu,2346.42,2366.98
0,257,eb_enc,cpu,2366.98,2367.12
0,257,eb_dec,cpu,2367.12,2367.23
0,257,h_s,dpu,2367.23,2385.81
0,257,gc,cpu,2385.81,2419.49
0,272,normalize,cpu,2427.13,2504.96
0,272,g_a_cpu,cpu,2504.96,2505.39
0,272,g_a,dpu,2505.4,2553.47
0,272,g_a,dpu,2553.47,2561.8
0,272,g_a_cpu,cpu,2561.8,2562.35
0,272,h_a,dpu,2562.35,2580.75
0,272,eb_enc,cpu,2580.75,2580.9
0,272,eb_dec,cpu,2580.9,2581.01
0,272,h_s,dpu,2581.01,2606.5
0,272,gc,cpu,2606.5,2618.04
0,290,normalize,cpu,2696.03,2725.07
0,290,g_a_cpu,cpu,2725.09,2725.59
0,290,g_a,dpu,2725.6,2746.88
0,290,g_a,dpu,2746.88,2753.78
0,290,g_a_cpu,cpu,2753.78,2754.35
0,290,h_a,dpu,2754.36,2757.9
0,290,eb_enc,cpu,2757.9,2758.04
