lane,patch,stage,kind,t0_ms,t1_ms
-1,0,read,read,0.27081,67.2456
-1,1,read,read,67.408,172.102
-1,2,read,read,172.127,352.811
-1,3,read,read,444.969,641.765
-1,4,read,read,812.387,949.859
-1,5,read,read,1197.08,1372.78
-1,6,read,read,1598.48,1822.42
-1,7,read,read,1971.42,2179.12
-1,8,read,read,2405.27,2523.52
-1,9,read,read,2769.1,2866.99
-1,10,read,read,3149.15,3289.26
-1,11,read,read,3494.35,3546.53
-1,12,read,read,3905.69,4084.2
-1,13,read,read,4281.59,4408.94
-1,14,read,read,4667.57,4772.12
-1,15,read,read,5025.77,5073.53
-1,16,read,read,5410.38,5542.32
-1,17,read,read,5800.09,5855.91
-1,18,read,read,6208.02,6304.42
-1,19,read,read,6590.74,6742.7
-1,20,read,read,6966.99,7137.88
-1,21,read,read,7330.5,7489.87
-1,22,read,read,7729.03,7860.47
-1,23,read,read,8112.29,8226.76
-1,24,read,read,8490.69,8655.77
-1,25,read,read,8890.58,8988.19
-1,26,read,read,9256.77,9367.56
-1,27,read,read,9660.07,9753.8
-1,28,read,read,10053,10202.5
-1,29,read,read,10422.9,10478.2
-1,30,read,read,10824.1,10937.1
-1,31,read,read,11208.6,11287.2
-1,32,read,read,11629.1,11814.6
-1,33,read,read,11998.2,12052.2
-1,34,read,read,12400.9,12524.8
-1,35,read,read,12769.6,12833.5
-1,36,read,read,13145.8,13312.8
-1,37,read,read,13540.2,13682
-1,38,read,read,13945.2,14085.4
-1,39,read,read,14325.6,14482.4
-1,40,read,read,14697,14866.4
-1,41,read,read,15087.7,15187.3
-1,42,read,read,15470.2,15567.3
-1,43,read,read,15852.4,15994.5
-1,44,read,read,16245.8,16470.9
-1,45,read,read,16639.3,16722.2
-1,46,read,read,17023.5,17122.2
-1,47,read,read,17417.4,17484.1
-1,48,read,read,17789.8,17906.2
-1,49,read,read,18180.9,18340.2
-1,50,read,read,18582.7,18742.5
-1,51,read,read,18955.1,19060.8
-1,52,read,read,19335.9,19473.7
-1,53,read,read,19722.1,19857.4
-1,54,read,read,20116.6,20193.2
-1,55,read,read,20500.5,20680.5
-1,56,read,read,20905.6,21099.6
-1,57,read,read,21301.4,21377.7
-1,58,read,read,21675.9,21743.2
-1,59,read,read,22071.9,22205.8
-1,60,read,read,22470.8,22734.5
-1,61,read,read,22849.6,22994.2
-1,62,read,read,23233.4,23380.8
-1,63,read,read,23599.9,23704.4
-1,64,read,read,23991.5,24150.8
-1,65,read,read,24395.1,24527.9
-1,66,read,read,24771.7,24970
-1,67,read,read,25152.5,25254.6
-1,68,read,read,25522.3,25697.1
-1,69,read,read,25927.9,25996.3
-1,70,read,read,26320.1,26393.5
-1,71,read,read,26724.7,26821.5
-1,72,read,read,27112.6,27287.3
-1,73,read,read,27511.9,27597
-1,74,read,read,27884.5,28019
-1,75,read,read,28268.2,28454.7
-1,76,read,read,28656.5,28780.7
-1,77,read,read,29043.4,29192.6
-1,78,read,read,29455.4,29555.3
-1,79,read,read,29814.8,29870.1
-1,80,read,read,30216.6,30402.9
-1,81,read,read,30585.2,30658.7
-1,82,read,read,30996.5,31102.3
-1,83,read,read,31379.9,31480.1
-1,84,read,read,31756.2,31986.5
-1,85,read,read,32148.8,32193.1
-1,86,read,read,32557.5,32658.1
-1,87,read,read,32944.7,33070.8
-1,88,read,read,33308.5,33471.3
-1,89,read,read,33696.6,33760.5
-1,90,read,read,34061.9,34132.3
-1,91,read,read,34463.4,34587.6
-1,92,read,read,34841.6,34977.2
-1,93,read,read,35235.7,35391.3
-1,94,read,read,35607.1,35683.4
-1,95,read,read,35996.6,36123.4
-1,96,read,read,36396.8,36555.2
